# Generated by LORRAX 0.1.0 at 2026-09-06 10:39:55 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	Hdir            	x_bare          	head_CC.Re      	head_CC.Im      	head_CTTC.Re    	head_CTTC.Im    	head_TT.Re      	head_TT.Im      	head_total.Re   	head_total.Im   	x_head_CC.Re    	x_head_CC.Im    	x_head_CTTC.Re  	x_head_CTTC.Im  	x_head_TT.Re    	x_head_TT.Im    	x_head_total.Re 	x_head_total.Im 	sex_head_CC.Re  	sex_head_CC.Im  	sex_head_CTTC.Re	sex_head_CTTC.Im	sex_head_TT.Re  	sex_head_TT.Im  	sex_head_total.Re	sex_head_total.Im	coh_head_CC.Re  	coh_head_CC.Im  	coh_head_CTTC.Re	coh_head_CTTC.Im	coh_head_TT.Re  	coh_head_TT.Im  	coh_head_total.Re	coh_head_total.Im	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
# kcrys     0.000000000    0.000000000    0.000000000
               0	               0	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    +1477.662472	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    +1026.793099	     +377.719012	    +1404.512110	    +1404.512110
               0	               1	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    -1262.263089	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    -1699.002539	     +349.553756	    -1349.448783	    -1349.448783
               0	               2	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     -343.515492	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     -636.941091	     +320.111663	     -316.829428	     -316.829428
               0	               3	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    +1988.569852	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    +1715.052244	     +390.004488	    +2105.056732	    +2105.056732

k-point 1:
# kcrys     0.500000000    0.000000000    0.000000000
               1	               0	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    -1639.405520	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    -2029.691520	     +278.556439	    -1751.135082	    -1751.135082
               1	               1	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     -560.434702	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    -1058.964310	     +398.262295	     -660.702015	     -660.702015
               1	               2	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     +596.460410	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     +419.603452	     +240.851241	     +660.454693	     +660.454693
               1	               3	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     +981.699278	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     +693.730753	     +420.065672	    +1113.796425	    +1113.796425
