file,line_at_b8e036a8,test_or_gate,declared_purpose,audit_scope
services/symmetry_maps/tests/test_bispinor_actions.py,15,test_four_spinor_action_on_all_si_soc_rows,"On antiunitary rows conjugate U†γU, since the current expectation uses Kψ.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_bispinor_actions.py,46,test_four_spinor_requires_spatial_parity,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_bispinor_actions.py,51,test_lorentz_mixer_tt_identity_and_rectangular_ct,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_bispinor_actions.py,74,test_selected_lorentz_output_matches_complete_sector,Selecting one rectangular sector output avoids allocating its sibling blocks.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,62,test_q_negation_index_is_the_c_order_involution,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,71,test_nonnested_8x8_to_12x12_has_the_exact_4x4_intersection,"RED TWIN: 8→12 shares 4 points/axis, not all 8 and not a prefix.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,99,test_common_grid_map_keeps_every_point_when_grids_nest_or_match,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,113,test_qpoint_lookup_keeps_signed_representatives_periodically_paired,The CrI3 -4/9 representative is the same point as wrapped +5/9.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,133,test_the_fold_equals_a_roll_and_the_wrap_counts_it,"``arr[kpq_index] == roll(arr, -q)`` and ``G_umk`` is the wrap count.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,156,test_the_fold_identity_can_fail,"RED TWIN.  The roll identity is a real constraint, not a shape check.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,173,test_the_anchored_branch_reproduces_the_shipping_op_policy,The anchored branch shadows ``find_symmetry_ops_simple`` bit-for-bit.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,207,test_the_derive_branch_returns_lex_min_representatives,"The ``irr_kgrid_int=None`` branch, and WHY it cannot carry I5/I6.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,234,test_a_full_point_with_no_preimage_refuses,RED TWIN for the anchored branch: a k the IBZ list cannot reach.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,271,test_the_trivial_branch_augments_trs_exactly_like_the_general_one,"G8.  ``len(sym_mats_k) == 2 * ntran`` in BOTH branches, with content.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,305,test_the_trivial_branch_publishes_every_attribute_the_general_one_does,"Same surface from both branches, or a consumer breaks on ``nosym``.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,341,test_the_trs_spinor_factor_squares_to_minus_one,"Θ² = −1 on the spinor factor, and ``_I_SIGMA_Y`` is the source.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,377,test_the_su2_intertwining_identity_can_fail,RED TWIN.  ``iσ_y conj(U) = U iσ_y`` is an SU(2) statement.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,392,test_a_spatial_row_is_not_augmented,The other half: below ``n_tran`` the spinor op is passed through.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,403,test_the_augmentation_vectorizes_over_a_row_of_sym_indices,Scalar and array ``sym_idx`` must agree elementwise.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,420,test_static_spinor_application_matches_ordered_complex_contraction,Complex spatial/TR rows agree with the direct ordered contraction.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,450,test_static_spinor_application_covers_scalar_and_refuses_wrong_extent,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,461,test_run58_spinor_shape_compiles_without_a_cublas_gemm,"Exact failed local shape: k16 × G76551 × ns2, one local band.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,481,test_tau_phase_row_is_none_at_tau_zero,"A symmorphic op has NO phase, and ``None`` is how that is said.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,506,test_tau_phase_row_jax_matches_the_host_convention,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,520,test_unfold_reciprocal_carriers_has_one_numpy_jax_convention,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,533,test_unfold_psi_refuses_a_sym_table_that_is_not_twice_ntran,S8.  The §Q guard: the ONE thing keeping the two halves of Θ in step.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,612,test_the_scalar_spinor_factor_is_the_1x1_identity_on_every_row_kind,"ns=1: one factor, it is 1, and it does not look at ``U_spinor``.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,647,test_spinless_time_reversal_squares_to_PLUS_one,"The ns=1 TRS row is a DIFFERENT operator, not a truncated iso_y.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,672,test_unfold_psi_transforms_a_scalar_psi_with_no_spinor_factor,"The fix, stated as the thing the loader actually needs.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,696,test_RED_TWIN_the_unconditional_2x2_silently_broadcasts_over_a_scalar_psi,"RED TWIN.  Reproduce the defect and show it is silent, then caught.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,767,test_the_helper_refuses_an_nspinor_it_has_no_representation_for,Unsupported spin extents refuse instead of broadcasting a Pauli action.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,797,test_an_orbit_closed_set_passes_validation,The positive case: every row is a permutation and no image escapes.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,810,test_a_dropped_centroid_refuses_with_the_fix_named,S6 half one — an image that is not in the table.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,837,test_validation_off_returns_the_broken_table_instead_of_raising,RED TWIN for the refusal: ``validate=False`` is the other branch.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,857,test_the_rgrid_permutation_covers_the_whole_fft_grid,``fft_grid_pullback_perm`` — the ζ-side twin of the centroid table.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,878,test_a_cubic_density_recovers_the_full_48_op_holohedry,"G9.  19683 candidate matrices, filtered against ρ on the FFT grid.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,903,test_a_broken_density_recovers_a_strict_subgroup,RED TWIN.  Break the density and the recovered group must SHRINK.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,931,test_the_cartesian_metric_convention_is_discriminated_by_bdot,"The transpose contract, stated with h5py and no lorrax code at all.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,991,test_three_of_the_four_decks_cannot_tell_the_conventions_apart,RED TWIN for the deck choice above — the reason it is not a loop.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,1030,test_the_kgrid_unfolding_validator_passes_on_every_in_tree_deck,"G7 positive.  Zero consumers, zero tests — so it gets both here.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,1045,test_the_kgrid_unfolding_validator_can_fail,"G7 constructible-FALSE, BOTH of the validator's two failure surfaces.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,1085,test_the_validator_reports_a_grid_size_mismatch_by_name,The other refusal branch: the uniform grid and the table disagree.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,83,test_the_stub_supplies_exactly_what_symmaps_reads,"The eleven attributes, checked against the MODULE, not the docstring.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,106,test_the_stub_carries_every_declared_attribute,"And the read actually populated them, with the right shapes.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,126,test_the_deck_tables_are_bit_identical_to_the_committed_derivation,"THE ACCEPTANCE GATE.  Four decks, two integer tables, bit-for-bit.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,163,test_the_bit_equality_gate_can_fail,RED TWIN.  Collapse ONE symmetry op and ``sym_idx_k`` must move.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,192,test_gnppm_selects_only_the_identity_and_its_time_reversal,"MEASURED, and the reason the red twin above is not parametrized.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,253,test_symmaps_no_longer_publishes_the_lowest_sym_parent_map,"Decision 4.  ``kpoint_map`` is GONE, and the used half stayed.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,277,test_incomplete_symmetry_metadata_refuses_instead_of_fabricating_gamma,An uncovered full-k row must never inherit stored Γ/identity.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,296,test_operator_tables_do_not_require_a_complete_k_map,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,322,test_identity_only_tr_reduced_mesh_uses_the_synthesized_minus_identity,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,329,test_identity_only_tr_reduced_mesh_refuses_when_reference_breaks_trs,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,335,test_identity_full_grid_rejects_duplicate_coordinates,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,343,test_the_in_tree_decks_do_not_trip_that_warning,The other half — otherwise the twin above proves the warning fires,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,361,test_cohsex_still_has_a_star_that_begins_on_a_time_reversal_row,"THE §8.1 TRIPWIRE.  Fails, never skips.",census only; classification in gate_blindness.md
