file,fixture_audit_scope,numerically_rerun_in_final_leg
services/symmetry_maps/tests/test_bispinor_actions.py,direct fixture classification in gate_blindness.md,true
services/symmetry_maps/tests/test_symmetry_maps_algebra.py,supporting/unclassified: no independent bispinor physics certification,false
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,supporting/unclassified: no independent bispinor physics certification,false
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,supporting/unclassified: no independent bispinor physics certification,false
services/symmetry_maps/tests/test_symmetry_maps_kirr_fullids.py,supporting/unclassified: no independent bispinor physics certification,false
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,supporting/unclassified: no independent bispinor physics certification,false
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,supporting/unclassified: no independent bispinor physics certification,false
services/symmetry_maps/tests/test_symmetry_maps_r_cart.py,supporting/unclassified: no independent bispinor physics certification,false
services/symmetry_maps/tests/test_symmetry_maps_star_contract.py,supporting/unclassified: no independent bispinor physics certification,false
tests/bench/test_sternheimer_jvp.py,supporting/unclassified: no independent bispinor physics certification,false
tests/multi_device/bispinor_exact_hartree_gate.py,direct fixture classification in gate_blindness.md,false
tests/multi_device/bispinor_parent_faces_gate.py,direct fixture classification in gate_blindness.md,false
tests/multi_device/bispinor_parent_restart_gate.py,direct fixture classification in gate_blindness.md,false
tests/multi_device/bispinor_transverse_vertex_face_gate.py,direct fixture classification in gate_blindness.md,false
tests/multi_device/eqp_invariance_cross_p.py,supporting/unclassified: no independent bispinor physics certification,false
tests/multi_device/face_carrier_restart_gate.py,supporting/unclassified: no independent bispinor physics certification,false
tests/multi_device/full_photon_head_sigma_gate.py,direct fixture classification in gate_blindness.md,false
tests/multi_device/head_wings_face_gate.py,supporting/unclassified: no independent bispinor physics certification,false
tests/multi_device/mtxel_callsite_gate.py,supporting/unclassified: no independent bispinor physics certification,false
tests/multi_device/mtxel_vnl_scaling_probe.py,supporting/unclassified: no independent bispinor physics certification,false
tests/multi_device/phdf5_padded_rank_write.py,supporting/unclassified: no independent bispinor physics certification,false
tests/multi_device/rectangular_response_symmetry_gate.py,direct fixture classification in gate_blindness.md,false
